Id,SalePrice
1461,106275.45611487427
1462,124785.14404386998
1463,178656.95964761882
1464,191903.89702132836
1465,199493.33863523437
1466,176983.80984306248
1467,174500.5002892607
1468,175267.55519730411
1469,179283.4634139256
1470,120749.72062382799
1471,190827.53077469414
1472,91810.69770979516
1473,93568.24057824622
1474,146470.8901288293
1475,121310.22038315515
1476,376407.18682472897
1477,235971.29945931476
1478,322395.38757827965
1479,299420.68506348366
1480,509798.4892446087
1481,289243.2418390409
1482,214713.7900036609
1483,185124.70769563576
1484,168352.36330834587
1485,171441.67528111162
1486,193568.94795939582
1487,316052.7722685356
1488,269587.6148108336
1489,183698.18520464544
1490,212503.36057987477
1491,190204.0953543683
1492,80568.12187170227
1493,180230.62780605542
1494,297941.6023946822
1495,285896.6839688907
1496,217107.92553267686
1497,160236.07573908134
1498,154717.00133539492
1499,149101.93679229254
1500,168875.51716897372
1501,193789.3688899004
1502,153428.36465099698
1503,290995.04758792423
1504,216504.41432481434
1505,188828.1921377216
1506,145814.1001945151
1507,234826.55019026925
1508,170260.5385930537
1509,152392.9233064174
1510,133980.29732839135
1511,144780.28017155267
1512,157792.89328151417
1513,139554.93917564861
1514,137670.04309963173
1515,209082.0228658073
1516,170287.86600710836
1517,159536.1809993725
1518,143963.57532185238
1519,225831.7049194845
1520,132646.6833966016
1521,112206.41761167748
1522,152334.05600811413
1523,123872.53134335071
1524,119699.22632720062
1525,127916.01713897655
1526,132311.21284050035
1527,126830.8523776784
1528,142506.38925542217
1529,135197.7375523265
1530,161942.92183802646
1531,159012.51173670814
1532,95181.12551178549
1533,121913.9276004931
1534,128280.73574976565
1535,128621.80636627453
1536,84070.67464045987
1537,108617.36412451458
1538,143130.33290705498
1539,169624.30065041906
1540,128211.51040827288
1541,135503.78321891362
1542,134557.88292908086
1543,190867.24767424972
1544,96130.07469804777
1545,84387.00022863987
1546,123524.83286358247
1547,138715.28689912148
1548,88995.70407782546
1549,112629.03057968496
1550,134942.69877539505
1551,115614.76695914584
1552,135567.990637585
1553,128903.31321679062
1554,117261.1435122585
1555,176336.21134230593
1556,106709.06712555802
1557,116983.88814390912
1558,113670.24913468654
1559,76322.17510381836
1560,127850.33840956306
1561,132070.01698303167
1562,127849.90377522999
1563,117744.79334580789
1564,153932.1999278433
1565,161649.2869267392
1566,220479.53349697136
1567,103167.69962664694
1568,211353.70051149232
1569,133278.26659487325
1570,146102.18667331472
1571,132250.52218881654
1572,141590.9693377124
1573,265888.15460217104
1574,146964.94838340362
1575,237094.46997562816
1576,228105.44365350335
1577,195913.61579580142
1578,143720.4595936367
1579,145375.90278866078
1580,180547.68536383263
1581,139777.00151590531
1582,120897.97756679961
1583,301913.98519533203
1584,230678.527022759
1585,135955.09258374304
1586,104220.51557973119
1587,112781.45482756753
1588,131080.2583362671
1589,111678.04404677944
